Designator,Mid X,Mid Y,Rotation,Layer
BOOT1,88.5,-49.5,180.0,top
BTN1,97.5,-80.5,270.0,top
BTN2,91.5,-80.5,270.0,top
BTN3,85.5,-80.5,270.0,top
C1,116.5,-55.0,90.0,top
C2,107.5,-48.5,180.0,top
C3,103.0,-49.5,90.0,top
C4,126.5,-70.0,0.0,top
C5,116.0,-61.0,270.0,top
C6,104.5,-49.5,90.0,top
C7,83.5,-73.0,180.0,top
D1,106.5,-84.0,90.0,top
D2,103.5,-84.0,90.0,top
EN1,88.5,-45.0,0.0,top
J1,94.19,-40.0,90.0,top
J10,143.19,-69.5,90.0,top
J11,143.19,-82.5,90.0,top
J3,123.0,-40.2675,180.0,top
J4,110.085,-41.5,180.0,top
J5,123.0,-86.7675,0.0,top
J6,165.5275,-50.9,270.0,top
J7,165.4425,-74.0,270.0,top
J8,143.19,-44.305,90.0,top
J9,143.19,-56.805,90.0,top
Q1,111.405,-61.05,270.0,top
Q2,107.405,-61.05,270.0,top
R1,114.5,-61.0,90.0,top
R10,129.0,-75.0,90.0,top
R11,129.0,-78.0,90.0,top
R12,94.5,-76.5,90.0,top
R13,88.5,-76.675,90.0,top
R2,104.5,-61.0,90.0,top
R3,103.5,-80.675,270.0,top
R4,106.5,-80.675,270.0,top
R5,100.5,-76.5,90.0,top
R6,129.5,-52.5,90.0,top
R7,129.5,-55.5,90.0,top
R8,129.5,-58.5,90.0,top
R9,129.0,-72.0,90.0,top
U1,110.0,-55.025,180.0,top
U2,91.1725,-62.345,90.0,top
U3,98.5,-47.0,90.0,top
U4,123.5,-55.5,270.0,top
U5,123.0,-75.0,270.0,top
